dataset,method,model,split,config,alpha,noise_rate,erasure_rate,runs,attained_runs,N_clean_mean,N_attack_mean,compensation_ratio_mean,compensation_ratio_std
alfworld,rank,deepseek,ID,top10,0.01,0.05,0.1,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.05,0.2,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.05,0.3,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.05,0.5,3,3,20,36.666666666666664,1.8333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top10,0.01,0.05,0.7,3,3,20,46.666666666666664,2.3333333333333335,1.4433756729740643
alfworld,rank,deepseek,ID,top10,0.01,0.1,0.0,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.1,0.1,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.1,0.2,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.1,0.3,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.1,0.5,3,3,20,33.333333333333336,1.6666666666666667,0.7637626158259734
alfworld,rank,deepseek,ID,top10,0.01,0.1,0.7,3,3,20,60,3.0,0.8660254037844386
alfworld,rank,deepseek,ID,top10,0.01,0.15,0.0,3,3,20,20,1.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.15,0.1,3,3,20,20,1.0,0.5
alfworld,rank,deepseek,ID,top10,0.01,0.15,0.2,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.15,0.3,3,3,20,23.333333333333332,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.15,0.5,3,3,20,36.666666666666664,1.8333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top10,0.01,0.15,0.7,3,3,20,76.66666666666667,3.8333333333333335,1.2583057392117916
alfworld,rank,deepseek,ID,top10,0.01,0.2,0.0,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.2,0.1,3,3,20,36.666666666666664,1.8333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top10,0.01,0.2,0.2,3,3,20,26.666666666666668,1.3333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top10,0.01,0.2,0.3,3,3,20,40,2.0,0.8660254037844386
alfworld,rank,deepseek,ID,top10,0.01,0.2,0.5,3,3,20,43.333333333333336,2.1666666666666665,0.5773502691896257
alfworld,rank,deepseek,ID,top10,0.01,0.2,0.7,3,3,20,80,4.0,0.0
alfworld,rank,deepseek,ID,top10,0.01,0.3,0.0,3,3,20,43.333333333333336,2.1666666666666665,0.5773502691896257
alfworld,rank,deepseek,ID,top10,0.01,0.3,0.1,3,3,20,30,1.5,1.0
alfworld,rank,deepseek,ID,top10,0.01,0.3,0.2,3,3,20,60,3.0,0.8660254037844386
alfworld,rank,deepseek,ID,top10,0.01,0.3,0.3,3,3,20,70,3.5,3.605551275463989
alfworld,rank,deepseek,ID,top10,0.01,0.3,0.5,3,3,20,63.333333333333336,3.1666666666666665,2.3629078131263044
alfworld,rank,deepseek,ID,top10,0.01,0.3,0.7,3,3,20,100,5.0,2.5
alfworld,rank,deepseek,ID,top10,0.01,0.5,0.0,3,0,20,,,
alfworld,rank,deepseek,ID,top10,0.01,0.5,0.1,3,0,20,,,
alfworld,rank,deepseek,ID,top10,0.01,0.5,0.2,3,0,20,,,
alfworld,rank,deepseek,ID,top10,0.01,0.5,0.3,3,0,20,,,
alfworld,rank,deepseek,ID,top10,0.01,0.5,0.5,3,0,20,,,
alfworld,rank,deepseek,ID,top10,0.01,0.5,0.7,3,0,20,,,
alfworld,rank,deepseek,ID,top2,0.01,0.0,0.0,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,ID,top2,0.01,0.0,0.1,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,ID,top2,0.01,0.0,0.2,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,ID,top2,0.01,0.0,0.3,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.0,0.5,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.0,0.7,3,3,13.333333333333334,33.333333333333336,2.5,0.5
alfworld,rank,deepseek,ID,top2,0.01,0.05,0.0,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.05,0.1,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.05,0.2,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,ID,top2,0.01,0.05,0.3,3,3,13.333333333333334,13.333333333333334,1.0,0.0
alfworld,rank,deepseek,ID,top2,0.01,0.05,0.5,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.05,0.7,3,3,13.333333333333334,26.666666666666668,2.1666666666666665,0.7637626158259734
alfworld,rank,deepseek,ID,top2,0.01,0.1,0.0,3,3,13.333333333333334,20,1.6666666666666667,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.1,0.1,3,3,13.333333333333334,20,1.6666666666666667,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.1,0.2,3,3,13.333333333333334,10,0.8333333333333334,0.28867513459481287
alfworld,rank,deepseek,ID,top2,0.01,0.1,0.3,3,3,13.333333333333334,20,1.6666666666666667,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.1,0.5,3,3,13.333333333333334,33.333333333333336,3.0,2.0
alfworld,rank,deepseek,ID,top2,0.01,0.1,0.7,3,3,13.333333333333334,33.333333333333336,2.8333333333333335,1.8929694486000912
alfworld,rank,deepseek,ID,top2,0.01,0.15,0.0,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.15,0.1,3,3,13.333333333333334,20,1.5,0.5
alfworld,rank,deepseek,ID,top2,0.01,0.15,0.2,3,3,13.333333333333334,23.333333333333332,2.0,1.0
alfworld,rank,deepseek,ID,top2,0.01,0.15,0.3,3,3,13.333333333333334,16.666666666666668,1.1666666666666667,0.28867513459481287
alfworld,rank,deepseek,ID,top2,0.01,0.15,0.5,3,3,13.333333333333334,30,2.1666666666666665,1.0408329997330663
alfworld,rank,deepseek,ID,top2,0.01,0.15,0.7,3,3,13.333333333333334,60,5.166666666666667,2.753785273643051
alfworld,rank,deepseek,ID,top2,0.01,0.2,0.0,3,3,13.333333333333334,30,2.6666666666666665,2.0816659994661326
alfworld,rank,deepseek,ID,top2,0.01,0.2,0.1,3,3,13.333333333333334,16.666666666666668,1.3333333333333333,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.2,0.2,3,3,13.333333333333334,40,3.6666666666666665,2.309401076758503
alfworld,rank,deepseek,ID,top2,0.01,0.2,0.3,3,3,13.333333333333334,53.333333333333336,4.5,3.0413812651491097
alfworld,rank,deepseek,ID,top2,0.01,0.2,0.5,3,3,13.333333333333334,36.666666666666664,3.1666666666666665,1.755942292142123
alfworld,rank,deepseek,ID,top2,0.01,0.2,0.7,3,3,13.333333333333334,50,4.666666666666667,3.511884584284246
alfworld,rank,deepseek,ID,top2,0.01,0.3,0.0,3,3,13.333333333333334,43.333333333333336,3.8333333333333335,3.6170890690351176
alfworld,rank,deepseek,ID,top2,0.01,0.3,0.1,3,3,13.333333333333334,46.666666666666664,3.3333333333333335,0.5773502691896257
alfworld,rank,deepseek,ID,top2,0.01,0.3,0.2,3,3,13.333333333333334,23.333333333333332,1.8333333333333333,0.28867513459481287
alfworld,rank,deepseek,ID,top2,0.01,0.3,0.3,3,3,13.333333333333334,93.33333333333333,8.0,3.4641016151377544
alfworld,rank,deepseek,ID,top2,0.01,0.3,0.5,3,3,13.333333333333334,66.66666666666667,5.0,0.0
alfworld,rank,deepseek,ID,top2,0.01,0.3,0.7,3,3,13.333333333333334,43.333333333333336,3.8333333333333335,3.6170890690351176
alfworld,rank,deepseek,ID,top2,0.01,0.5,0.0,3,1,13.333333333333334,80,8.0,0.0
alfworld,rank,deepseek,ID,top2,0.01,0.5,0.1,3,0,13.333333333333334,,,
alfworld,rank,deepseek,ID,top2,0.01,0.5,0.2,3,0,13.333333333333334,,,
alfworld,rank,deepseek,ID,top2,0.01,0.5,0.3,3,0,13.333333333333334,,,
