dataset,method,model,split,topk,trajectories,decoded_len_mean,decoded_len_std,bit_match_rate_mean,bit_match_rate_std,payload_recovery_rate,c_nom_proxy_bits,c_eff_proxy_bits,runs
toolbench,rank,deepseek,G2_category,10,60,2.2167,3.3349,0.576736,0.493447,0.066667,2.2167,0.147781,3
toolbench,rank,deepseek,G2_category,20,60,2.2167,3.3349,0.582222,0.496294,0.066667,2.2167,0.147781,3
toolbench,rank,deepseek,G2_instruction,2,60,1.0333,1.6047,0.315556,0.43076,0.0,1.0333,0.0,3
toolbench,rank,deepseek,G2_instruction,4,60,1.4167,2.2421,0.387646,0.458583,0.016667,1.4167,0.023612,3
toolbench,rank,deepseek,G2_instruction,6,60,1.4167,2.2421,0.430093,0.486222,0.016667,1.4167,0.023612,3
toolbench,rank,deepseek,G2_instruction,8,60,1.45,2.2731,0.432222,0.490281,0.033333,1.45,0.048333,3
toolbench,rank,deepseek,G2_instruction,10,60,1.45,2.2731,0.435556,0.489662,0.033333,1.45,0.048333,3
toolbench,rank,deepseek,G2_instruction,20,60,1.45,2.2731,0.45,0.501692,0.033333,1.45,0.048333,3
toolbench,rank,deepseek,G3_instruction,2,60,1.0833,1.7783,0.238175,0.364454,0.0,1.0833,0.0,3
toolbench,rank,deepseek,G3_instruction,4,60,1.5167,2.7709,0.372551,0.46672,0.0,1.5167,0.0,3
toolbench,rank,deepseek,G3_instruction,6,60,1.5167,2.7709,0.397619,0.491429,0.016667,1.5167,0.025279,3
toolbench,rank,deepseek,G3_instruction,8,60,1.5833,3.0493,0.398718,0.492546,0.016667,1.5833,0.026389,3
toolbench,rank,deepseek,G3_instruction,10,60,1.5833,3.0493,0.4,0.494032,0.033333,1.5833,0.052776,3
toolbench,rank,deepseek,G3_instruction,20,60,1.5833,3.0493,0.390385,0.486392,0.033333,1.5833,0.052776,3
toolbench,rank,gemini-flash,G1_category,2,60,0.8,1.5048,0.280952,0.43285,0.0,0.8,0.0,3
toolbench,rank,gemini-flash,G1_category,4,60,1.0333,1.9827,0.277639,0.428769,0.0,1.0333,0.0,3
toolbench,rank,gemini-flash,G1_category,6,60,1.0333,1.9827,0.335278,0.455331,0.016667,1.0333,0.017222,3
toolbench,rank,gemini-flash,G1_category,8,60,1.0833,2.0935,0.371759,0.478429,0.016667,1.0833,0.018055,3
toolbench,rank,gemini-flash,G1_category,10,60,1.0833,2.0935,0.362037,0.480472,0.016667,1.0833,0.018055,3
toolbench,rank,gemini-flash,G1_category,20,60,1.0833,2.0935,0.383333,0.490301,0.033333,1.0833,0.03611,3
toolbench,rank,gemini-flash,G1_instruction,2,60,1.0,1.1932,0.416667,0.482021,0.0,1.0,0.0,3
toolbench,rank,gemini-flash,G1_instruction,4,60,1.2833,1.5955,0.464286,0.461777,0.0,1.2833,0.0,3
toolbench,rank,gemini-flash,G1_instruction,6,60,1.2833,1.5955,0.511667,0.484363,0.0,1.2833,0.0,3
toolbench,rank,gemini-flash,G1_instruction,8,60,1.3,1.6082,0.576667,0.494158,0.0,1.3,0.0,3
toolbench,rank,gemini-flash,G1_instruction,10,60,1.3,1.6082,0.560833,0.488867,0.0,1.3,0.0,3
toolbench,rank,gemini-flash,G1_instruction,20,60,1.3,1.6082,0.58,0.494992,0.0,1.3,0.0,3
toolbench,rank,gemini-flash,G1_tool,2,60,0.9,1.4226,0.370139,0.471098,0.0,0.9,0.0,3
